p_hex8,d_hex8,ride_count
883cf10cbdfffff,883cf13945fffff,21
883c02990bfffff,883c029907fffff,21
883cf105b7fffff,883cf13b03fffff,21
883c02d6d9fffff,883c02d6dbfffff,21
883c02d6c3fffff,883c02d689fffff,21
883c029863fffff,883c029951fffff,21
883c02d6c3fffff,883c02d6c1fffff,21
883cf13969fffff,883cf10c97fffff,21
883c029863fffff,883c029821fffff,21
883c029981fffff,883c029989fffff,21
883c029911fffff,883c02991dfffff,21
883c029939fffff,883c029911fffff,21
883c029865fffff,883c029939fffff,21
883cf13b25fffff,883cf10cbdfffff,21
883cf13b07fffff,883cf105b7fffff,21
883cf13b39fffff,883cf13b21fffff,21
883c029929fffff,883c029939fffff,21
883cf13b2dfffff,883cf13b03fffff,21
883c029867fffff,883c029903fffff,21
883c029915fffff,883c029907fffff,21
883cf13b25fffff,883cf10c97fffff,21
883c02991dfffff,883c029957fffff,21
883c029915fffff,883c029919fffff,20
883c0299e5fffff,883c029939fffff,20
883c0299c1fffff,883c0299c7fffff,20
883c0299a9fffff,883c02990bfffff,20
883c029939fffff,883c029941fffff,20
883c029933fffff,883c0299a9fffff,20
883c029903fffff,883c029919fffff,20
883c029903fffff,883c02d6d9fffff,20
883cf1394dfffff,883cf10ca3fffff,20
883c02d6c9fffff,883c02d6c3fffff,20
883cf1396bfffff,883cf10c93fffff,20
883c029b33fffff,883c029953fffff,20
883c02d689fffff,883c029939fffff,20
883c029939fffff,883c029821fffff,20
883c02993bfffff,883c02993bfffff,20
883c029907fffff,883c029957fffff,20
883c029953fffff,883c029821fffff,20
883c029957fffff,883c029915fffff,20
883c02d6dbfffff,883c0299e7fffff,20
883c029953fffff,883c02990bfffff,20
883c029967fffff,883c02993dfffff,20
883c029903fffff,883c029947fffff,20
883cf13963fffff,883cf10c97fffff,20
883cf13945fffff,883cf10cb5fffff,20
883c029955fffff,883c029951fffff,20
883c029939fffff,883c029955fffff,20
883c029939fffff,883c029989fffff,20
883c029939fffff,883c029b33fffff,20
883c029939fffff,883c0299e1fffff,20
883cf1394dfffff,883cf13b25fffff,20
883cf10cabfffff,883cf13b25fffff,20
883c02993dfffff,883c0299edfffff,20
883c029829fffff,883c029821fffff,20
883c029951fffff,883c02986dfffff,20
883cf10c93fffff,883cf10cb5fffff,20
883c029919fffff,883c029951fffff,20
883cf10ce1fffff,883cf1394dfffff,20
883cf17659fffff,883cf13b21fffff,20
883cf10ca9fffff,883cf13945fffff,20
883c02991dfffff,883c02991dfffff,20
883c0299c5fffff,883c0299c1fffff,20
883cf17649fffff,883cf17619fffff,20
883c02982dfffff,883c02995bfffff,20
883cf10cadfffff,883cf13945fffff,20
883cf10ce3fffff,883cf1394dfffff,19
883c029939fffff,883c029959fffff,19
883cf17659fffff,883cf10cbdfffff,19
883c029901fffff,883c02991dfffff,19
883c0299cdfffff,883c029917fffff,19
883c0299a9fffff,883c02d6dbfffff,19
883cf13b39fffff,883cf10c93fffff,19
