Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike
Abul Hotel,"23.754778817124492, 90.41540918143296",Ahsan Manzil,"23.708817214034582, 90.40605307282843",7.94,7.73,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Airport Railway Station,"23.85187216330197, 90.40808625149042",17.58,17.58,,
Abul Hotel,"23.754778817124492, 90.41540918143296",AIUB Pocket Gate,"23.82101339617473, 90.42737688630989",13.13,13.13,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Arambagh,"23.731760422431627, 90.41892331465192",4.41,4.41,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Ashkuna Haji Camp,"23.850536914491794, 90.41196425630297",16.33,16.33,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Azad Mosque (Dhanmondi),"23.723457876062444, 90.38910539637354",7.09,7.09,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Azimpur,"23.72723004477641, 90.38621547855664",7.02,7.02,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Badda,"23.780568079273614, 90.42649619466724",3.22,3.22,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Baitul Mukarram Mosque,"23.729491621601635, 90.4127217167163",4.81,4.81,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Baldha Garden,"23.716916774125067, 90.41941883725221",7.1,6.52,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Banani 11,"23.723160254991075, 90.38771374929166",7.4,7.4,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Banani SuperMarket,"23.79350541605234, 90.40689722271105",6.72,6.72,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Banani Block J,"23.796668895469587, 90.40603147773179",7.18,7.18,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bangabandhu National Stadium,"23.72799213845677, 90.41316682376024",4.93,4.93,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bangabandhu Sheikh Mujib Medical University (BSMMU),"23.738538737338253, 90.39536639492475",5.5,5.5,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bangabazar,"23.72371785638331, 90.4058524372524",5.53,5.53,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Baridhara DOHS,"23.813084105710036, 90.4129734607382",10.47,10.47,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara Block C,"23.81949603415762, 90.42738524683234",13.0,13.0,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara City Mall,"23.75121557936337, 90.39070746794054",4.19,4.19,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bashundhara Gate,"23.811875111391196, 90.4214912547236",11.25,11.25,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bijoynagar,"23.73469869947737, 90.41077232376051",3.85,3.85,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Bosila,"23.755536214623834, 90.3561451998845",8.55,8.55,,
Abul Hotel,"23.754778817124492, 90.41540918143296",Brac University,"23.773372892644524, 90.42482029492592",2.67,2.67,,
Abul Hotel,"23.754778817124492, 90.41540918143296",BUET,"23.726717170489835, 90.39263491266497",6.43,6.43,,
