pickup_hex_9,dropoff_hex_9,ride_count
893cf10cb43ffff,893cf13b257ffff,7
893cf1392cbffff,893cf1394dbffff,7
893cf10c953ffff,893cf139443ffff,7
893cf13b02bffff,893cf10e983ffff,7
893cf13b153ffff,893cf13b25bffff,7
893cf10c93bffff,893cf13b20bffff,7
893cf105b93ffff,893cf13b02bffff,7
893cf139633ffff,893cf10c973ffff,7
893cf10c9bbffff,893cf1765a3ffff,7
893cf13944fffff,893cf10eba3ffff,7
893cf1394dbffff,893cf1764d7ffff,7
893cf1764b3ffff,893cf13965bffff,7
893cf10ce3bffff,893cf139443ffff,7
893cf13b02bffff,893cf105b8bffff,7
893cf10cb43ffff,893cf176513ffff,7
893cf13b153ffff,893cf105b73ffff,7
893cf13b153ffff,893cf139483ffff,7
893cf13b2cfffff,893cf13b6b3ffff,7
893cf10c93bffff,893cf139413ffff,7
893cf139687ffff,893cf1760b7ffff,7
893cf10c9bbffff,893cf176547ffff,7
893cf1761c3ffff,893cf13b20bffff,7
893cf17656bffff,893cf1394dbffff,7
893cf10cbcfffff,893cf176e0bffff,7
893cf13904fffff,893cf10c973ffff,7
893cf17649bffff,893cf176e0bffff,7
893cf13941bffff,893cf13b20bffff,7
893cf105b97ffff,893cf13b02fffff,7
893cf10cc47ffff,893cf10caafffff,7
893cf10eaafffff,893cf10e9cbffff,7
893cf105d67ffff,893cf105b17ffff,7
893cf10c9cfffff,893cf139497ffff,7
893cf13b153ffff,893cf13b247ffff,7
893cf13963bffff,893cf10c977ffff,7
893cf105b97ffff,893cf13b02bffff,7
893cf13b02bffff,893cf10eb53ffff,7
893cf139637ffff,893cf176083ffff,7
893cf10c9c7ffff,893cf10ca27ffff,7
893cf10cd1bffff,893cf13b20bffff,7
893cf13b543ffff,893cf13b247ffff,7
893cf176567ffff,893cf1396abffff,7
893cf10ca93ffff,893cf139443ffff,7
893cf13b027ffff,893cf13b20fffff,7
893cf10c92fffff,893cf176073ffff,7
893cf10caa3ffff,893cf13b257ffff,7
893cf176567ffff,893cf13944fffff,7
893cf13b02bffff,893cf10ca8bffff,7
893cf13944fffff,893cf10ca0bffff,7
893cf10ce0fffff,893cf10cb07ffff,7
893cf10cea3ffff,893cf1394dbffff,7
893cf13b253ffff,893cf13b077ffff,7
893cf13b02bffff,893cf105827ffff,7
893cf13968bffff,893cf1394dbffff,7
893cf13b02bffff,893cf105823ffff,7
893cf13b143ffff,893cf139493ffff,7
893cf10c927ffff,893cf10cb43ffff,7
893cf13b247ffff,893cf10e94bffff,7
893cf1396abffff,893cf13b20fffff,7
893cf1396abffff,893cf13b23bffff,7
893cf13b02bffff,893cf176037ffff,7
893cf13b02bffff,893cf10ca57ffff,7
893cf10eb8fffff,893cf1394dbffff,7
893cf176053ffff,893cf1392cbffff,7
893cf10cbd7ffff,893cf10c993ffff,7
893cf13969bffff,893cf13b20bffff,7
893cf13b02fffff,893cf105867ffff,7
893cf10cc4bffff,893cf13b257ffff,7
893cf13969bffff,893cf13b20fffff,7
893cf176e63ffff,893cf176543ffff,7
893cf13968fffff,893cf10cb63ffff,7
893cf17604fffff,893cf139653ffff,7
893cf13b02bffff,893cf13b20bffff,7
893cf13b02bffff,893cf1765a7ffff,7
893cf1392d3ffff,893cf13b20fffff,7
893cf13969bffff,893cf13b263ffff,7
893cf13969bffff,893cf13b26fffff,7
893cf176ecfffff,893cf176407ffff,7
893cf1394cbffff,893cf139627ffff,7
893cf139613ffff,893cf1394dbffff,7
893cf10ce47ffff,893cf1764bbffff,7
893cf10e827ffff,893cf13b22bffff,7
893cf1394c7ffff,893cf13b06bffff,7
893cf105b8fffff,893cf13b02bffff,7
893cf13b02bffff,893cf1059cbffff,7
893cf10ca83ffff,893cf139443ffff,7
893cf13b02bffff,893cf10cbcbffff,7
893cf105877ffff,893cf13b02bffff,7
893cf1394cfffff,893cf10ca2bffff,7
893cf13b02bffff,893cf10ca27ffff,7
893cf138467ffff,893cf1384d3ffff,7
893cf13b15bffff,893cf1394dbffff,7
893cf13b20bffff,893cf13b087ffff,7
893cf13b023ffff,893cf13b263ffff,7
893cf10eb4fffff,893cf1394dbffff,7
893cf13b257ffff,893cf10cbcbffff,7
893cf13b0cfffff,893cf10eb77ffff,7
893cf13b393ffff,893cf139443ffff,7
893cf10eb17ffff,893cf139443ffff,7
893cf1396b7ffff,893cf1646c7ffff,7
893cf1394dbffff,893cf10cbdbffff,7
893cf10cc0bffff,893cf13b02bffff,7
893cf1394d3ffff,893cf13b10bffff,7
893cf1766b7ffff,893cf10cecfffff,7
893cf10c8c3ffff,893cf10c973ffff,7
893cf13b253ffff,893cf10c973ffff,7
893cf13b037ffff,893cf10ea27ffff,7
893cf10c977ffff,893cf10cb77ffff,7
893cf10c973ffff,893cf176583ffff,7
893cf1396b7ffff,893cf178883ffff,7
893cf10ce8fffff,893cf10c973ffff,7
893cf10c96fffff,893cf1760b7ffff,7
893cf139457ffff,893cf13b257ffff,7
893cf10dd17ffff,893cf10cbcfffff,7
893cf10581bffff,893cf13b02bffff,7
893cf10eb0bffff,893cf17607bffff,7
893cf139457ffff,893cf176e0bffff,7
893cf1765c7ffff,893cf10c983ffff,7
893cf10cbc3ffff,893cf13b26fffff,7
893cf10ebc3ffff,893cf13b2c7ffff,7
893cf10c973ffff,893cf10ce07ffff,7
893cf176033ffff,893cf13b02bffff,7
893cf10cb4bffff,893cf176197ffff,7
893cf139667ffff,893cf13b04fffff,7
893cf13b253ffff,893cf10ca9bffff,7
893cf10cac3ffff,893cf139443ffff,7
893cf13b20bffff,893cf10ce07ffff,7
893cf10c867ffff,893cf10ceabffff,7
893cf17607bffff,893cf1764d7ffff,7
893cf10cb0fffff,893cf1392c3ffff,7
893cf1394dbffff,893cf10c86bffff,7
893cf17645bffff,893cf13b2cfffff,7
893cf10cdbbffff,893cf13941bffff,7
893cf17645bffff,893cf13b02bffff,7
893cf10cdbbffff,893cf1394dbffff,7
893cf13b20fffff,893cf139287ffff,7
893cf13964fffff,893cf10ca0bffff,7
893cf13b043ffff,893cf1765c7ffff,7
893cf10dd83ffff,893cf10c947ffff,7
893cf13b257ffff,893cf139443ffff,7
893cf176513ffff,893cf10cb1bffff,7
893cf139607ffff,893cf1394dbffff,7
893cf176513ffff,893cf10cd67ffff,7
893cf10cb23ffff,893cf10c9d7ffff,7
893cf13b1cfffff,893cf139443ffff,7
893cf10ca1bffff,893cf1394dbffff,7
893cf13b1c3ffff,893cf13b277ffff,7
893cf10cad7ffff,893cf13b02bffff,7
893cf13b277ffff,893cf13b02fffff,7
893cf10ca2fffff,893cf1394dbffff,7
893cf139483ffff,893cf13b557ffff,7
893cf10dd87ffff,893cf10cecfffff,7
893cf10ca1bffff,893cf17656bffff,7
893cf10e973ffff,893cf13b557ffff,7
893cf139483ffff,893cf17657bffff,7
893cf139647ffff,893cf139443ffff,7
893cf13b223ffff,893cf17650bffff,7
893cf10eb3bffff,893cf13b02bffff,7
893cf17650bffff,893cf13b077ffff,7
893cf139653ffff,893cf13b26fffff,7
893cf13b20bffff,893cf13969bffff,7
893cf1058b3ffff,893cf13b02bffff,7
893cf10cc17ffff,893cf10c98fffff,7
893cf139053ffff,893cf176477ffff,7
893cf176e57ffff,893cf176483ffff,7
893cf1396b3ffff,893cf17656bffff,7
893cf13b02fffff,893cf13b2cfffff,7
893cf13b20bffff,893cf13b543ffff,7
893cf13b023ffff,893cf13b20bffff,7
893cf10ce2bffff,893cf139443ffff,7
893cf10caafffff,893cf176583ffff,7
893cf13944fffff,893cf13b247ffff,7
893cf10ce23ffff,893cf13b157ffff,7
893cf105b9bffff,893cf13b02bffff,7
893cf13b2cfffff,893cf139687ffff,7
893cf1396b3ffff,893cf13b247ffff,7
893cf13b247ffff,893cf13b39bffff,7
893cf13961bffff,893cf13b02bffff,7
893cf17654bffff,893cf13941bffff,7
893cf13b2cfffff,893cf13b02bffff,7
893cf10cb4bffff,893cf139443ffff,7
893cf10eb4fffff,893cf13b0b3ffff,7
893cf13b20bffff,893cf13b397ffff,7
893cf10cc47ffff,893cf10ca43ffff,7
893cf13b10bffff,893cf13b02bffff,7
893cf10ce6fffff,893cf13b2c7ffff,7
893cf10cb2fffff,893cf1394dbffff,7
893cf13944fffff,893cf176417ffff,7
893cf10cd83ffff,893cf10caa3ffff,7
893cf10c1bbffff,893cf10ca4bffff,7
893cf139053ffff,893cf13b20bffff,7
893cf13904fffff,893cf104e47ffff,6
893cf10eb3bffff,893cf13b20fffff,6
893cf10ca2bffff,893cf139443ffff,6
893cf10ca23ffff,893cf10cc17ffff,6
893cf13b20bffff,893cf1396b3ffff,6
893cf13b397ffff,893cf13b4b3ffff,6
893cf13b067ffff,893cf13b257ffff,6
893cf13b023ffff,893cf139413ffff,6
893cf13b02bffff,893cf10ca83ffff,6
893cf10cb5bffff,893cf10c973ffff,6
893cf10eb27ffff,893cf13b243ffff,6
893cf13b20bffff,893cf10eb83ffff,6
893cf139043ffff,893cf105b8bffff,6
893cf13b0b3ffff,893cf176053ffff,6
893cf176313ffff,893cf139443ffff,6
893cf13b273ffff,893cf139603ffff,6
893cf10ca2fffff,893cf176553ffff,6
893cf13b383ffff,893cf13b243ffff,6
893cf1392cbffff,893cf139443ffff,6
893cf17649bffff,893cf13b1bbffff,6
893cf10c84bffff,893cf10cb1bffff,6
893cf17652fffff,893cf10ca3bffff,6
893cf1394cbffff,893cf13964fffff,6
893cf10ca57ffff,893cf10cc47ffff,6
893cf10ce87ffff,893cf1394dbffff,6
893cf13b20bffff,893cf10ebc7ffff,6
893cf10cb4bffff,893cf10cc47ffff,6
893cf139627ffff,893cf10cb13ffff,6
893cf10ce63ffff,893cf10c973ffff,6
893cf1390cfffff,893cf10cb6fffff,6
893cf139043ffff,893cf10c973ffff,6
893cf10ce23ffff,893cf13b6b3ffff,6
893cf13b20fffff,893cf17659bffff,6
893cf139043ffff,893cf10c93bffff,6
893cf17651bffff,893cf176e0bffff,6
893cf13b247ffff,893cf10cb3bffff,6
893cf10eb67ffff,893cf13b20bffff,6
893cf13b383ffff,893cf13b3dbffff,6
893cf13b20bffff,893cf10cb1bffff,6
893cf13b023ffff,893cf13b20fffff,6
893cf10cd33ffff,893cf13b02fffff,6
893cf13b257ffff,893cf13969bffff,6
893cf13b213ffff,893cf10ca0bffff,6
893cf176a2bffff,893cf1764c7ffff,6
893cf13b20bffff,893cf139413ffff,6
893cf1396b3ffff,893cf10ca27ffff,6
893cf176347ffff,893cf139443ffff,6
893cf10cd0bffff,893cf13b02bffff,6
893cf10ce07ffff,893cf10cbcfffff,6
893cf13b397ffff,893cf13b253ffff,6
893cf176367ffff,893cf1766b7ffff,6
893cf13969bffff,893cf10caafffff,6
893cf13969bffff,893cf10ca73ffff,6
893cf10532fffff,893cf105b73ffff,6
893cf176513ffff,893cf13b26fffff,6
893cf13969bffff,893cf10c977ffff,6
893cf10ce83ffff,893cf10c973ffff,6
893cf176027ffff,893cf139413ffff,6
893cf13b11bffff,893cf13b20fffff,6
893cf13969bffff,893cf10c973ffff,6
893cf13b397ffff,893cf13b257ffff,6
893cf10c933ffff,893cf13b3cbffff,6
893cf10cd0bffff,893cf13b20fffff,6
893cf13b257ffff,893cf13941bffff,6
893cf13b02bffff,893cf10cad7ffff,6
893cf13b02bffff,893cf10cb47ffff,6
893cf17649bffff,893cf10c9bbffff,6
893cf176e7bffff,893cf10cb47ffff,6
893cf10c9cbffff,893cf13b02bffff,6
893cf139053ffff,893cf10c92bffff,6
893cf13b14bffff,893cf10c9abffff,6
893cf1390dbffff,893cf176547ffff,6
893cf10ca2bffff,893cf10eb87ffff,6
893cf13b373ffff,893cf13b23bffff,6
893cf13b22fffff,893cf1394cbffff,6
893cf10c867ffff,893cf13b02fffff,6
893cf13b38bffff,893cf1396b3ffff,6
893cf1396d7ffff,893cf10c947ffff,6
893cf1394d7ffff,893cf1396c7ffff,6
893cf13b243ffff,893cf10cd8bffff,6
893cf139207ffff,893cf1760cfffff,6
893cf10ca27ffff,893cf10c93bffff,6
893cf13b0b3ffff,893cf13b02fffff,6
893cf13b20fffff,893cf1059cbffff,6
893cf13b373ffff,893cf13b20bffff,6
893cf10cb5bffff,893cf10c90fffff,6
893cf17650fffff,893cf13b063ffff,6
893cf1394dbffff,893cf10c863ffff,6
893cf10ce23ffff,893cf10c977ffff,6
893cf10c9cbffff,893cf13948fffff,6
893cf10c9d7ffff,893cf10e993ffff,6
893cf10c337ffff,893cf139443ffff,6
893cf10ca67ffff,893cf1396abffff,6
893cf13b02bffff,893cf105807ffff,6
893cf10c927ffff,893cf1396bbffff,6
893cf139063ffff,893cf176513ffff,6
893cf176e63ffff,893cf13b267ffff,6
893cf10c8dbffff,893cf10c80fffff,6
893cf10eb57ffff,893cf139443ffff,6
893cf13928bffff,893cf1394d3ffff,6
893cf13b383ffff,893cf105b73ffff,6
893cf10eb03ffff,893cf10ce73ffff,6
893cf1396abffff,893cf13b02bffff,6
893cf13928bffff,893cf10c973ffff,6
893cf10c3afffff,893cf10ca1bffff,6
893cf10ca53ffff,893cf1394d3ffff,6
893cf13b143ffff,893cf13b26fffff,6
893cf105e37ffff,893cf10e9cfffff,6
893cf10ce03ffff,893cf1394dbffff,6
893cf13b20bffff,893cf13b10bffff,6
893cf13b02bffff,893cf1058abffff,6
893cf10562fffff,893cf10ebbbffff,6
893cf139627ffff,893cf13b267ffff,6
893cf10cc47ffff,893cf139443ffff,6
893cf13b143ffff,893cf13b20fffff,6
893cf1763c7ffff,893cf10cbcfffff,6
893cf13b39bffff,893cf10c973ffff,6
893cf13b107ffff,893cf13b2cfffff,6
893cf1394d3ffff,893cf10cb67ffff,6
893cf1392d7ffff,893cf13b2c7ffff,6
893cf139297ffff,893cf17651bffff,6
893cf10cb5bffff,893cf139443ffff,6
893cf10e877ffff,893cf13b15bffff,6
893cf1394dbffff,893cf10ce87ffff,6
893cf105823ffff,893cf13b02bffff,6
893cf13b027ffff,893cf13b227ffff,6
893cf13b20bffff,893cf10c1b7ffff,6
893cf10ca43ffff,893cf176503ffff,6
893cf176567ffff,893cf10c973ffff,6
893cf13b397ffff,893cf105b73ffff,6
893cf139633ffff,893cf1394d3ffff,6
893cf10ca47ffff,893cf10c973ffff,6
893cf1763c7ffff,893cf10cb47ffff,6
893cf10ce73ffff,893cf10c92fffff,6
893cf10ce73ffff,893cf139443ffff,6
893cf10cddbffff,893cf10cc47ffff,6
893cf13b553ffff,893cf13b02bffff,6
893cf176547ffff,893cf10ce77ffff,6
893cf10cb5bffff,893cf13b247ffff,6
893cf10ca67ffff,893cf176e0bffff,6
893cf139047ffff,893cf176557ffff,6
893cf10cd27ffff,893cf10cb2bffff,6
893cf13b12fffff,893cf13b3c3ffff,6
893cf176503ffff,893cf10ca8bffff,6
893cf105813ffff,893cf13b02bffff,6
893cf13b02bffff,893cf105b93ffff,6
893cf10ce63ffff,893cf13b02fffff,6
893cf10c92bffff,893cf13b26fffff,6
893cf13961bffff,893cf10c973ffff,6
893cf13b54bffff,893cf13b02bffff,6
893cf13b383ffff,893cf139447ffff,6
893cf1396b3ffff,893cf1760afffff,6
893cf176013ffff,893cf1396b3ffff,6
893cf13b393ffff,893cf13b26fffff,6
893cf10ce63ffff,893cf139443ffff,6
893cf13904bffff,893cf13b02bffff,6
893cf17603bffff,893cf1394d3ffff,6
893cf13b20bffff,893cf10e9c3ffff,6
893cf13b39bffff,893cf13b20bffff,6
893cf10d917ffff,893cf1764d7ffff,6
893cf10cb47ffff,893cf139443ffff,6
893cf1396a3ffff,893cf13b23bffff,6
893cf13b65bffff,893cf10c923ffff,6
893cf1390cbffff,893cf1394dbffff,6
893cf176a37ffff,893cf1760bbffff,6
893cf13b20bffff,893cf1765c3ffff,6
893cf105d53ffff,893cf13b393ffff,6
893cf13b393ffff,893cf13b253ffff,6
893cf10ca73ffff,893cf10ce87ffff,6
893cf139047ffff,893cf10c973ffff,6
893cf13b35bffff,893cf13b20bffff,6
893cf10ca67ffff,893cf13969bffff,6
893cf13b5d7ffff,893cf13b02bffff,6
893cf10eb83ffff,893cf10c9bbffff,6
893cf1390c3ffff,893cf10c973ffff,6
893cf10c9d7ffff,893cf10caafffff,6
893cf13b20bffff,893cf13b373ffff,6
893cf105817ffff,893cf13b02bffff,6
893cf176033ffff,893cf139443ffff,6
893cf13b007ffff,893cf13b257ffff,6
893cf176567ffff,893cf176367ffff,6
893cf1396c3ffff,893cf13b2cfffff,6
893cf1394d3ffff,893cf139443ffff,6
893cf1396abffff,893cf10c937ffff,6
893cf139287ffff,893cf10c947ffff,6
893cf139287ffff,893cf10c90fffff,6
893cf13b023ffff,893cf105b73ffff,6
893cf10cb4bffff,893cf1394dbffff,6
893cf13b20bffff,893cf10e91bffff,6
893cf10ca73ffff,893cf13b257ffff,6
893cf13b02bffff,893cf105b87ffff,6
893cf10cc0bffff,893cf10c973ffff,6
893cf176183ffff,893cf13b2b3ffff,6
893cf139647ffff,893cf1394d3ffff,6
893cf10c93bffff,893cf13b23bffff,6
893cf105b83ffff,893cf13b193ffff,6
893cf10ed4bffff,893cf13b20bffff,6
893cf17640fffff,893cf176333ffff,6
893cf13b6abffff,893cf13b057ffff,6
893cf13b02bffff,893cf13967bffff,6
893cf10cdd3ffff,893cf139443ffff,6
893cf13b057ffff,893cf13961bffff,6
893cf10cd9bffff,893cf13b02bffff,6
893cf10c973ffff,893cf176483ffff,6
893cf17658bffff,893cf13944fffff,6
