Pickup Area,"Popular Pickup Lat,Lon",Destination,"Popular Destination Lat, Lon",OSRM_distance_km_car,OSRM_distance_km_bike,diff_car,diff_bike,pickup_hex8,destination_hex8,pickup_hex8_lat,pickup_hex8_lon,destination_hex8_lat,destination_hex8_lon
Madani Avenue,"23.796522119458537, 90.41892630380953",Tejgaon Industrial Area,"23.760019431424492, 90.39129990553859",6.89,6.89,,,883cf13b23fffff,883cf10cb9fffff,23.796730371644948,90.42019406381806,23.76042092782806,90.39390227519722
Madani Avenue,"23.796522119458537, 90.41892630380953",Tejturi Bazar,"23.75623497189328, 90.39215451399026",7.14,7.14,,,883cf13b23fffff,883cf10cbdfffff,23.796730371644948,90.42019406381806,23.753157519825887,90.3886449653357
Madani Avenue,"23.796522119458537, 90.41892630380953",Uttara 5,"23.864761239707796, 90.38997472577391",10.47,10.47,,,883cf13b23fffff,883cf10587fffff,23.796730371644948,90.42019406381806,23.86433459113515,90.39101974165585
Madani Avenue,"23.796522119458537, 90.41892630380953",Uttara 8,"23.87642523160438, 90.4027025919781",11.01,11.01,,,883cf13b23fffff,883cf1059dfffff,23.796730371644948,90.42019406381806,23.878848792964828,90.40153887813072
Madani Avenue,"23.796522119458537, 90.41892630380953",Wapda,"23.724329299083337, 90.42172598970535",11.22,11.22,,,883cf13b23fffff,883cf1761dfffff,23.796730371644948,90.42019406381806,23.722386557230866,90.42497715465107
Malibagh,"23.748206666885658, 90.41264211577844",Mirpur 1,"23.799924575462516, 90.35540223205751",11.59,11.59,,,883cf17659fffff,883cf10ea3fffff,23.74503840440612,90.41206926469967,23.798714458563694,90.35326159654097
Malibagh,"23.748206666885658, 90.41264211577844",Mirpur 10,"23.80719467382045, 90.36908602159754",10.01,10.01,,,883cf17659fffff,883cf10eb1fffff,23.74503840440612,90.41206926469967,23.805694352489212,90.36807957086397
Malibagh,"23.748206666885658, 90.41264211577844",Mitford Hospital,"23.710241130066684, 90.40146387971537",5.83,5.83,,,883cf17659fffff,883cf17605fffff,23.74503840440612,90.41206926469967,23.70814300261903,90.40490207721805
Malibagh,"23.748206666885658, 90.41264211577844",Mohakhali,"23.777854677596434, 90.40604839490996",7.03,7.03,,,883cf17659fffff,883cf10c91fffff,23.74503840440612,90.41206926469967,23.774946225704827,90.40441794294416
Malibagh,"23.748206666885658, 90.41264211577844",Mohakhali DOHS,"23.78278751597978, 90.39544927255388",7.28,7.28,,,883cf17659fffff,883cf10c99fffff,23.74503840440612,90.41206926469967,23.782492961011723,90.40011446771334
Malibagh,"23.748206666885658, 90.41264211577844",Mohammadia Housing Society,"23.763101301949316, 90.35556289470746",8.08,8.08,,,883cf17659fffff,883cf10ce1fffff,23.74503840440612,90.41206926469967,23.76155438552596,90.35566136491687
Malibagh,"23.748206666885658, 90.41264211577844",Mohammadpur,"23.7663733521534, 90.35838993349377",8.0,8.0,,,883cf17659fffff,883cf10cebfffff,23.74503840440612,90.41206926469967,23.768818065694155,90.36091744346868
Malibagh,"23.748206666885658, 90.41264211577844",Mohanogor Project,"23.76520526494669, 90.41386759492562",2.9,2.9,,,883cf17659fffff,883cf13969fffff,23.74503840440612,90.41206926469967,23.767113123665496,90.41828286133763
Malibagh,"23.748206666885658, 90.41264211577844",Monipuripara,"23.761551705506246, 90.38597592588681",4.52,4.55,,,883cf17659fffff,883cf10c87fffff,23.74503840440612,90.41206926469967,23.760705189009908,90.38434162607795
Malibagh,"23.748206666885658, 90.41264211577844",Motijheel,"23.73295803071134, 90.41707926909248",2.34,2.34,,,883cf17659fffff,883cf17657fffff,23.74503840440612,90.41206926469967,23.72993788598881,90.42067468476998
Malibagh,"23.748206666885658, 90.41264211577844",Nabinagar Housing,"23.75914645303138, 90.34560142302898",9.03,9.03,,,883cf17659fffff,883cf10cedfffff,23.74503840440612,90.41206926469967,23.76183625547636,90.34610184166168
Malibagh,"23.748206666885658, 90.41264211577844",Nakhalpara,"23.770702222003415, 90.39587895540527",4.8,4.8,,,883cf17659fffff,883cf10c95fffff,23.74503840440612,90.41206926469967,23.76768382991121,90.39915993441795
Malibagh,"23.748206666885658, 90.41264211577844",Narinda,"23.710683127844753, 90.4205271484302",5.79,5.79,,,883cf17659fffff,883cf17639fffff,23.74503840440612,90.41206926469967,23.707569439103068,90.42402148974176
Malibagh,"23.748206666885658, 90.41264211577844",National Parliament House,"23.781019112967787, 90.37248560043007",7.73,7.73,,,883cf17659fffff,883cf10cc3fffff,23.74503840440612,90.41206926469967,23.78334390917981,90.37143064998999
Malibagh,"23.748206666885658, 90.41264211577844",Nayabazar,"23.714576772747364, 90.40403403484302",5.45,5.45,,,883cf17659fffff,883cf1760dfffff,23.74503840440612,90.41206926469967,23.71569454944354,90.40059958242753
Malibagh,"23.748206666885658, 90.41264211577844",New market,"23.733306698256296, 90.38374538295768",5.24,5.24,,,883cf17659fffff,883cf1764dfffff,23.74503840440612,90.41206926469967,23.731080182872354,90.38243448248184
Malibagh,"23.748206666885658, 90.41264211577844",Niketan,"23.773793555853857, 90.41078375783205",5.8,5.8,,,883cf17659fffff,883cf10c93fffff,23.74503840440612,90.41206926469967,23.774660976459952,90.41397966107493
Malibagh,"23.748206666885658, 90.41264211577844",Nikunja 2,"23.83279861213574, 90.4167626340228",12.66,12.66,,,883cf17659fffff,883cf13b55fffff,23.74503840440612,90.41206926469967,23.833883976460818,90.41780164148742
Malibagh,"23.748206666885658, 90.41264211577844",Noor jahan Road,"23.760621916497936, 90.36176280206402",7.94,7.43,,,883cf17659fffff,883cf10ce3fffff,23.74503840440612,90.41206926469967,23.761271917822455,90.36522117041785
Malibagh,"23.748206666885658, 90.41264211577844",North South University,"23.815277538796973, 90.42547076424017",12.0,12.0,,,883cf17659fffff,883cf13b03fffff,23.74503840440612,90.41206926469967,23.81879577278778,90.42640952294214
Malibagh,"23.748206666885658, 90.41264211577844",Notun Bazar,"23.79749348795045, 90.4237139801499",7.03,7.03,,,883cf17659fffff,883cf13b23fffff,23.74503840440612,90.41206926469967,23.796730371644948,90.42019406381806
Malibagh,"23.748206666885658, 90.41264211577844",Nurer Chala,"23.79698754317488, 90.43246902253573",8.41,8.41,,,883cf17659fffff,883cf13b35fffff,23.74503840440612,90.41206926469967,23.796444535661955,90.42975696424344
Malibagh,"23.748206666885658, 90.41264211577844",PG Hospital,"23.73895782109403, 90.39362466608887",4.18,4.18,,,883cf17659fffff,883cf1764bfffff,23.74503840440612,90.41206926469967,23.738060039513314,90.3972511644559
Malibagh,"23.748206666885658, 90.41264211577844",Postogola,"23.693064987141877, 90.43013918400378",9.47,9.47,,,883cf17659fffff,883cf17637fffff,23.74503840440612,90.41206926469967,23.69246259962913,90.43262553904646
Malibagh,"23.748206666885658, 90.41264211577844",Puran Dhaka,"23.722455864933664, 90.38776863791101",5.37,5.37,,,883cf17659fffff,883cf17645fffff,23.74503840440612,90.41206926469967,23.72353046472506,90.38673741136634
Malibagh,"23.748206666885658, 90.41264211577844",Rajlokkhi Complex,"23.864407298736335, 90.399736694929",16.49,16.49,,,883cf17659fffff,883cf105b9fffff,23.74503840440612,90.41206926469967,23.86405178703082,90.40058395653175
Malibagh,"23.748206666885658, 90.41264211577844",Rampura,"23.760873486392178, 90.42061036978188",2.51,2.51,,,883cf17659fffff,883cf13961fffff,23.74503840440612,90.41206926469967,23.759564556746252,90.42258590147063
Malibagh,"23.748206666885658, 90.41264211577844",Rayer bazar,"23.743521887504897, 90.36167622278728",8.68,8.68,,,883cf17659fffff,883cf10cadfffff,23.74503840440612,90.41206926469967,23.746460753147243,90.36426856769404
